title,price,price_numeric,location,property_url
2 Bedroom Apartment for Rent in Kilimani Near Yaya Centre,"Ksh150,000",150000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/luxurious-two-bedroom-apartment-for-rent/
"Devine Suites | Luxurious Furnished 1 & 2-Bedroom Apartments for Sale in Riverside Drive, Nairobi","Ksh17,000,000",17000000.0,"Riverside, Nairobi",https://realtors.co.ke/property/devine-suites-luxurious-furnished-1-2-bedroom-apartments-for-sale-in-riverside-drive-nairobi/
2 Bedroom Apartment for Rent in Kilimani | Riara Road Near Junction Mall,"Ksh100,000",100000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/2-bedroom-apartment-for-rent-in-kilimani-riara-road-near-junction-mall/
Modern 1-Bedroom Apartments for Sale in Kileleshwa,"Ksh4,880,000",4880000.0,Kileleshwa,https://realtors.co.ke/property/luxury-1-bedroom-in-kileleshwa/
"Vesta Gardens – Modern Apartments for Sale on Ngong Road, Nairobi","Ksh11,000,000",11000000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/vesta-gardens-apartments-for-sale-kilimani-ngong-road/
Brookside Oak Apartments | 3-Bedroom,"Ksh18,200,000",18200000.0,"Westlands, Nairobi",https://realtors.co.ke/property/brookside-oak-apartments-3-bedroom/
Furnished Apartments for Rent in Kileleshwa,"Ksh7,600,000",7600000.0,Kileleshwa,https://realtors.co.ke/property/ambra-heights-apartment-for-rent-in-kileleshwa/
Spacious 2 Bedroom Apartment for Rent in Kileleshwa,"Ksh180,000",180000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/spacious-2-bedroom-furnished-and-serviced-kileleshwa/
Modern 1 & 2-Bedroom Apartments for Sale in Westlands,"Ksh12,500,000",12500000.0,"Westlands, Nairobi",https://realtors.co.ke/property/affordable-1-bedroom-90-sqm-apartment-in-westlands/
Merlin Court Apartments for Sale in Lavington | 3 Bedroom + SQ,"Ksh30,000,000",30000000.0,"Lavington, Nairobi",https://realtors.co.ke/property/merlin-court-apartments-for-sale-in-lavington-3-bedroom-sq/
Modern 4-Bedroom Apartment for Sale in Kileleshwa,"Ksh20,000,000",20000000.0,Kileleshwa,https://realtors.co.ke/property/comfy-residency-kileleshwa-4-bedroom-apartment-for-sale/
Modern 5-Bedroom | Crystal Oak Residency,"Ksh41,000,000",41000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-5-bedroom-crystal-oak-residency/
Modern 4-Bedroom | Crystal Oak Residency,"Ksh26,000,000",26000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-4-bedroom-crystal-oak-residency/
Modern 3-Bedroom | Crystal Oak Residency,"Ksh24,000,000",24000000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/modern-3-bedroom-crystal-oak-residency/
Modern Apartment For Sale In Kilimani,"Ksh10,500,000",10500000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/hayat-heights-apartment-for-sale-in-kilimani-nairobi/
Luxury 3-Bedroom Apartments for Sale in Parklands at Gazebo Apartments,"Ksh14,870,000",14870000.0,"Parklands, Nairobi",https://realtors.co.ke/property/luxury-3-bedroom-apartments-for-sale-in-parklands-at-gazebo-apartments/
"2-Bedroom Apartments for Sale in Kilimani – From KES 8.9M (90–112 sqm) | Wood Garden Road, Completion Dec 2026","Ksh8,900,000",8900000.0,Kilimani,https://realtors.co.ke/property/2-bedroom-for-sale-in-kilimani-4/
Perfect starter home 2 bedroom for sale in lavington,"Ksh10,600,000",10600000.0,,https://realtors.co.ke/property/perfect-starter-home-2-bedroom-for-sale-in-lavington/
Modern 1 & 2-Bedroom Apartments for Sale in Lavington,"Ksh14,500,000",14500000.0,Nairobi,https://realtors.co.ke/property/2-en-suite-bedroom-for-sale-behind-junction-mall/
2 Bedroom Apartment for Rent in Kilimani Near Yaya Centre,"Ksh150,000",150000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/luxurious-two-bedroom-apartment-for-rent/
"Riya Apartments | 4-Bedroom Apartment for Sale in Parklands, Nairobi","Ksh25,000,000",25000000.0,"Parklands, Nairobi",https://realtors.co.ke/property/riya-apartments-4-bedroom-apartment-for-sale-in-parklands-nairobi/
Furnished 1 Bedroom Apartment for Rent in Kilimani | Realtors Kenya,"Ksh120,000",120000.0,"Kilimani, Nairobi",https://realtors.co.ke/property/furnished-one-bedroom-in-kilimani/
Modern 3-Bedroom Apartment for Sale in Kileleshwa,"Ksh19,500,000",19500000.0,Kileleshwa,https://realtors.co.ke/property/3-bedroom-apartment-for-sale-at-diamond-ivy-residence/
Spacious 4-Bedroom Unfurnished Apartment for Rent in Kileleshwa,"Ksh200,000",200000.0,"Kileleshwa, Nairobi",https://realtors.co.ke/property/unfurnished-4-bedroom-in-kileleshwa/
Modern 1-Bedroom Apartments for Sale in Kilimani,"Ksh8,000,000",8000000.0,Kilimani,https://realtors.co.ke/property/kilimani-gem-1-bedroom-for-sale/
Exquisite 2 Bed Apartment with En Suite for sale in Riverside,"Ksh8,000,000",8000000.0,"Riverside, Westlands",https://realtors.co.ke/property/exquisite-2-bed-apartment-with-en-suite-in-riverside/
